2013 31/8 22:00	144.088	138.434	135.556	2.100%	2.313	1.770	0.543	0.145
2013 31/8 20:00	140.490	137.177	134.703	1.820%	2.032	1.634	0.397	0.024
2013 31/8 18:00	138.211	136.441	134.124	1.713%	1.909	1.535	0.373	0.077
2013 31/8 16:00	137.760	136.048	133.716	1.729%	1.892	1.442	0.451	0.097
2013 31/8 14:00	137.050	135.667	133.311	1.752%	1.877	1.329	0.548	0.143
2013 31/8 12:00	138.361	135.360	132.937	1.806%	1.883	1.192	0.691	0.052
2013 31/8 10:00	138.200	134.693	132.395	1.721%	1.762	1.019	0.743	0.016
2013 31/8 08:00	138.000	133.914	131.815	1.580%	1.592	0.833	0.759	0.038
2013 31/8 06:00	138.020	133.006	131.196	1.370%	1.365	0.644	0.721	0.136
2013 31/8 04:00	137.590	131.892	130.514	1.050%	1.049	0.463	0.585	0.243
2013 31/8 02:00	137.500	130.625	129.806	0.629%	0.659	0.317	0.342	0.420
2013 31/8 00:00	129.090	129.098	129.037	0.047%	0.154	0.231	-0.077	0.006
2013 30/8 22:00	129.750	129.099	129.031	0.053%	0.167	0.251	-0.083	0.059
2013 30/8 20:00	128.900	128.955	128.959	-0.004%	0.130	0.272	-0.142	0.018
2013 30/8 18:00	129.000	128.967	128.965	0.001%	0.147	0.307	-0.160	0.028
2013 30/8 16:00	128.570	128.960	128.962	-0.002%	0.159	0.347	-0.189	0.000
2013 30/8 14:00	128.890	129.046	129.001	0.035%	0.205	0.394	-0.189	0.016
2013 30/8 12:00	128.900	129.081	129.012	0.053%	0.237	0.442	-0.205	0.015
2013 30/8 10:00	128.733	129.121	129.023	0.076%	0.272	0.493	-0.220	0.000
2013 30/8 08:00	128.700	129.208	129.053	0.120%	0.327	0.548	-0.220	0.013
2013 30/8 06:00	128.560	129.320	129.088	0.180%	0.395	0.603	-0.208	0.040
2013 30/8 04:00	129.830	129.489	129.141	0.270%	0.487	0.655	-0.168	0.032
2013 30/8 02:00	129.789	129.414	129.072	0.265%	0.497	0.697	-0.199	0.041
2013 30/8 00:00	129.869	129.330	129.000	0.256%	0.507	0.747	-0.240	0.062
2013 29/8 22:00	128.810	129.210	128.913	0.231%	0.504	0.807	-0.302	0.002
2013 29/8 20:00	128.660	129.299	128.923	0.291%	0.578	0.882	-0.304	0.021
2013 29/8 18:00	129.282	129.442	128.950	0.381%	0.675	0.958	-0.283	0.006
2013 29/8 16:00	129.758	129.477	128.916	0.434%	0.740	1.029	-0.289	0.037
2013 29/8 14:00	128.900	129.414	128.832	0.451%	0.775	1.101	-0.327	0.019
2013 29/8 12:00	129.000	129.529	128.825	0.545%	0.875	1.183	-0.308	0.031
2013 29/8 10:00	129.000	129.646	128.808	0.649%	0.983	1.260	-0.277	0.054
2013 29/8 08:00	129.570	129.790	128.789	0.774%	1.107	1.329	-0.222	0.041
2013 29/8 06:00	131.240	129.839	128.710	0.873%	1.204	1.385	-0.181	0.071
2013 29/8 04:00	129.626	129.527	128.458	0.829%	1.178	1.430	-0.252	0.014
2013 29/8 02:00	130.800	129.506	128.341	0.904%	1.255	1.493	-0.237	0.072
2013 29/8 00:00	128.760	129.218	128.095	0.873%	1.243	1.552	-0.309	0.049
2013 28/8 22:00	129.499	129.320	128.028	1.004%	1.370	1.629	-0.260	0.019
2013 28/8 20:00	128.800	129.280	127.881	1.088%	1.453	1.694	-0.241	0.080
2013 28/8 18:00	128.710	129.386	127.789	1.242%	1.594	1.754	-0.161	0.123
2013 28/8 16:00	129.700	129.537	127.697	1.430%	1.757	1.795	-0.038	0.095
2013 28/8 14:00	129.000	129.500	127.497	1.559%	1.862	1.804	0.058	0.176
2013 28/8 12:00	130.998	129.612	127.347	1.763%	2.024	1.790	0.234	0.077
2013 28/8 10:00	130.540	129.303	126.981	1.812%	2.042	1.731	0.311	0.108
2013 28/8 08:00	130.171	129.029	126.626	1.880%	2.072	1.653	0.419	0.141
2013 28/8 06:00	131.600	128.775	126.271	1.963%	2.108	1.549	0.560	0.040
2013 28/8 04:00	130.155	128.147	125.738	1.897%	2.008	1.409	0.600	0.107
2013 28/8 02:00	131.320	127.701	125.296	1.900%	1.965	1.259	0.707	0.003
2013 28/8 00:00	130.490	126.896	124.694	1.751%	1.786	1.082	0.704	0.015
2013 27/8 22:00	129.000	126.098	124.114	1.585%	1.595	0.906	0.689	0.024
2013 27/8 20:00	129.000	125.453	123.626	1.467%	1.446	0.734	0.713	0.035
2013 27/8 18:00	129.351	124.664	123.089	1.272%	1.233	0.556	0.677	0.153
2013 27/8 16:00	130.300	123.623	122.462	0.943%	0.911	0.386	0.524	0.377
2013 27/8 14:00	126.000	122.139	121.678	0.378%	0.402	0.255	0.147	0.264
2013 27/8 12:00	121.310	121.281	121.246	0.028%	0.101	0.218	-0.117	0.022
2013 27/8 10:00	121.005	121.274	121.240	0.028%	0.109	0.248	-0.139	0.001
2013 27/8 08:00	121.240	121.334	121.263	0.058%	0.142	0.282	-0.140	0.014
2013 27/8 06:00	120.530	121.355	121.266	0.074%	0.163	0.317	-0.154	0.045
2013 27/8 04:00	120.880	121.539	121.339	0.164%	0.247	0.356	-0.109	0.047
2013 27/8 02:00	121.210	121.685	121.385	0.247%	0.321	0.383	-0.062	0.047
2013 27/8 00:00	122.368	121.791	121.403	0.319%	0.384	0.398	-0.015	0.027
2013 26/8 22:00	121.210	121.662	121.306	0.293%	0.361	0.402	-0.041	0.052
2013 26/8 20:00	121.455	121.763	121.316	0.368%	0.423	0.412	0.011	0.056
2013 26/8 18:00	122.465	121.831	121.302	0.435%	0.476	0.410	0.067	0.007
2013 26/8 16:00	121.332	121.690	121.186	0.415%	0.452	0.393	0.059	0.073
2013 26/8 14:00	122.000	121.770	121.171	0.493%	0.510	0.378	0.132	0.043
2013 26/8 12:00	122.467	121.719	121.088	0.519%	0.520	0.345	0.175	0.010
2013 26/8 10:00	121.831	121.553	120.950	0.497%	0.487	0.301	0.185	0.050
2013 26/8 08:00	122.450	121.491	120.862	0.519%	0.490	0.255	0.235	0.004
2013 26/8 06:00	122.100	121.278	120.704	0.474%	0.435	0.196	0.239	0.012
2013 26/8 04:00	121.900	121.095	120.564	0.439%	0.387	0.136	0.251	0.013
2013 26/8 02:00	122.460	120.916	120.430	0.402%	0.338	0.074	0.264	0.050
2013 26/8 00:00	121.838	120.573	120.227	0.287%	0.222	0.008	0.215	0.045
2013 25/8 22:00	120.500	120.291	120.066	0.187%	0.124	-0.046	0.170	0.028
2013 25/8 20:00	121.000	120.245	120.023	0.185%	0.109	-0.089	0.198	0.013
2013 25/8 18:00	120.750	120.077	119.925	0.127%	0.047	-0.138	0.185	0.013
2013 25/8 16:00	120.495	119.928	119.843	0.071%	-0.012	-0.184	0.172	0.011
2013 25/8 14:00	120.020	119.802	119.778	0.020%	-0.066	-0.227	0.161	0.013
2013 25/8 12:00	119.640	119.753	119.753	0.000%	-0.094	-0.267	0.174	0.042
2013 25/8 10:00	119.700	119.779	119.765	0.012%	-0.095	-0.311	0.216	0.049
2013 25/8 08:00	120.550	119.796	119.771	0.021%	-0.100	-0.365	0.265	0.012
2013 25/8 06:00	120.900	119.629	119.693	-0.054%	-0.178	-0.431	0.253	0.063
2013 25/8 04:00	120.300	119.346	119.573	-0.190%	-0.305	-0.494	0.190	0.059
2013 25/8 02:00	120.600	119.134	119.500	-0.307%	-0.411	-0.542	0.131	0.122
2013 25/8 00:00	119.098	118.808	119.390	-0.488%	-0.566	-0.574	0.008	0.059
2013 24/8 22:00	118.505	118.744	119.419	-0.567%	-0.627	-0.576	-0.051	0.031
2013 24/8 20:00	118.080	118.797	119.510	-0.599%	-0.646	-0.564	-0.082	0.002
2013 24/8 18:00	118.600	118.956	119.653	-0.584%	-0.624	-0.543	-0.081	0.027
2013 24/8 16:00	118.800	119.035	119.759	-0.606%	-0.631	-0.523	-0.108	0.044
2013 24/8 14:00	119.000	119.088	119.855	-0.642%	-0.648	-0.496	-0.152	0.068
2013 24/8 12:00	118.200	119.107	119.940	-0.697%	-0.678	-0.458	-0.220	0.015
2013 24/8 10:00	118.500	119.309	120.114	-0.673%	-0.638	-0.403	-0.235	0.025
2013 24/8 08:00	118.510	119.488	120.276	-0.657%	-0.604	-0.344	-0.260	0.013
2013 24/8 06:00	118.800	119.706	120.452	-0.622%	-0.553	-0.279	-0.273	0.019
2013 24/8 04:00	118.521	119.907	120.617	-0.591%	-0.504	-0.211	-0.293	0.020
2013 24/8 02:00	119.350	120.215	120.827	-0.508%	-0.411	-0.137	-0.273	0.014
2013 24/8 00:00	120.100	120.407	120.975	-0.470%	-0.356	-0.069	-0.287	0.061
2013 23/8 22:00	119.900	120.475	121.062	-0.486%	-0.345	0.002	-0.347	0.051
2013 23/8 20:00	119.100	120.603	121.178	-0.476%	-0.309	0.089	-0.398	0.018
2013 23/8 18:00	118.611	120.937	121.386	-0.370%	-0.191	0.189	-0.380	0.098
2013 23/8 16:00	120.900	121.454	121.664	-0.172%	0.002	0.284	-0.282	0.016
2013 23/8 14:00	120.760	121.577	121.740	-0.134%	0.057	0.354	-0.298	0.006
2013 23/8 12:00	120.900	121.759	121.838	-0.065%	0.137	0.429	-0.291	0.016
2013 23/8 10:00	121.200	121.950	121.932	0.015%	0.226	0.502	-0.275	0.016
2013 23/8 08:00	121.530	122.117	122.005	0.091%	0.312	0.570	-0.259	0.012
2013 23/8 06:00	121.980	122.247	122.053	0.159%	0.389	0.635	-0.247	0.007
2013 23/8 04:00	121.950	122.306	122.060	0.202%	0.443	0.697	-0.253	0.003
2013 23/8 02:00	122.000	122.385	122.071	0.257%	0.509	0.760	-0.251	0.010
2013 23/8 00:00	122.100	122.471	122.078	0.322%	0.582	0.823	-0.241	0.016
2013 22/8 22:00	122.500	122.553	122.076	0.391%	0.658	0.883	-0.225	0.002
2013 22/8 20:00	122.890	122.565	122.033	0.435%	0.712	0.939	-0.227	0.030
2013 22/8 18:00	122.250	122.493	121.948	0.446%	0.739	0.996	-0.258	0.012
2013 22/8 16:00	121.872	122.547	121.917	0.515%	0.815	1.061	-0.246	0.055
2013 22/8 14:00	122.199	122.697	121.922	0.634%	0.931	1.122	-0.190	0.061
2013 22/8 12:00	123.100	122.808	121.894	0.747%	1.040	1.170	-0.130	0.016
2013 22/8 10:00	122.700	122.743	121.774	0.793%	1.088	1.202	-0.114	0.050
2013 22/8 08:00	123.500	122.753	121.681	0.877%	1.167	1.231	-0.064	0.001
2013 22/8 06:00	123.150	122.587	121.499	0.891%	1.184	1.246	-0.062	0.018
2013 22/8 04:00	124.155	122.462	121.334	0.925%	1.217	1.262	-0.045	0.070
2013 22/8 02:00	123.640	122.085	121.052	0.850%	1.158	1.273	-0.115	0.079
2013 22/8 00:00	121.854	121.740	120.793	0.781%	1.108	1.302	-0.194	0.021
2013 21/8 22:00	121.483	121.714	120.687	0.848%	1.177	1.350	-0.173	0.059
2013 21/8 20:00	122.480	121.766	120.607	0.956%	1.279	1.394	-0.115	0.001
2013 21/8 18:00	121.602	121.607	120.420	0.981%	1.307	1.422	-0.115	0.062
2013 21/8 16:00	121.800	121.608	120.302	1.080%	1.398	1.451	-0.054	0.065
2013 21/8 14:00	121.395	121.565	120.152	1.170%	1.476	1.465	0.011	0.115
2013 21/8 12:00	124.101	121.603	120.028	1.304%	1.588	1.462	0.127	0.076
2013 21/8 10:00	123.011	121.048	119.620	1.187%	1.480	1.430	0.050	0.056
2013 21/8 08:00	122.392	120.612	119.281	1.110%	1.411	1.418	-0.006	0.059
2013 21/8 06:00	121.500	120.217	118.970	1.042%	1.354	1.419	-0.065	0.034
2013 21/8 04:00	120.848	119.931	118.717	1.018%	1.337	1.435	-0.098	0.011
2013 21/8 02:00	120.200	119.728	118.504	1.027%	1.350	1.460	-0.110	0.025
2013 21/8 00:00	120.000	119.623	118.335	1.083%	1.403	1.487	-0.085	0.042
2013 20/8 22:00	119.990	119.539	118.168	1.154%	1.466	1.509	-0.043	0.049
2013 20/8 20:00	120.131	119.439	117.986	1.224%	1.526	1.519	0.006	0.044
2013 20/8 18:00	120.503	119.285	117.771	1.277%	1.568	1.518	0.050	0.011
2013 20/8 16:00	121.016	119.015	117.498	1.282%	1.566	1.505	0.061	0.055
2013 20/8 14:00	120.300	118.570	117.146	1.208%	1.496	1.490	0.006	0.049
2013 20/8 12:00	119.807	118.185	116.831	1.153%	1.446	1.488	-0.042	0.054
2013 20/8 10:00	117.540	117.825	116.533	1.102%	1.403	1.499	-0.096	0.096
2013 20/8 08:00	118.500	117.888	116.433	1.242%	1.523	1.523	-0.000	0.048
2013 20/8 06:00	118.501	117.752	116.226	1.305%	1.571	1.523	0.048	0.050
2013 20/8 04:00	118.000	117.586	115.998	1.359%	1.608	1.511	0.098	0.092
2013 20/8 02:00	117.300	117.494	115.798	1.454%	1.676	1.487	0.190	0.171
2013 20/8 00:00	118.400	117.537	115.648	1.620%	1.800	1.439	0.361	0.125
2013 19/8 22:00	119.150	117.345	115.373	1.695%	1.835	1.349	0.486	0.073
2013 19/8 20:00	118.841	116.944	114.995	1.680%	1.786	1.227	0.559	0.077
