2013 31/8 23:45	144.650	140.678	138.681	1.430%	1.687	1.460	0.226	0.183
2013 31/8 22:45	142.082	139.795	138.084	1.232%	1.503	1.404	0.100	0.070
2013 31/8 21:45	142.514	139.287	137.684	1.157%	1.433	1.379	0.055	0.143
2013 31/8 20:45	140.222	138.570	137.201	0.993%	1.290	1.365	-0.075	0.034
2013 31/8 19:45	140.200	138.203	136.899	0.948%	1.256	1.384	-0.128	0.061
2013 31/8 18:45	138.000	137.759	136.569	0.867%	1.195	1.416	-0.222	0.067
2013 31/8 17:45	138.110	137.705	136.426	0.933%	1.262	1.472	-0.210	0.059
2013 31/8 16:45	137.439	137.615	136.258	0.992%	1.321	1.524	-0.203	0.106
2013 31/8 15:45	137.750	137.655	136.139	1.107%	1.427	1.575	-0.148	0.091
2013 31/8 14:45	137.994	137.633	135.978	1.210%	1.518	1.612	-0.093	0.076
2013 31/8 13:45	138.323	137.553	135.777	1.300%	1.595	1.635	-0.040	0.049
2013 31/8 12:45	136.978	137.382	135.522	1.363%	1.644	1.645	-0.001	0.139
2013 31/8 11:45	137.742	137.472	135.377	1.536%	1.783	1.645	0.138	0.095
2013 31/8 10:45	138.945	137.412	135.140	1.667%	1.878	1.611	0.267	0.003
2013 31/8 09:45	138.110	137.071	134.759	1.701%	1.881	1.544	0.337	0.038
2013 31/8 08:45	139.500	136.840	134.424	1.781%	1.919	1.460	0.459	0.084
2013 31/8 07:45	138.141	136.249	133.917	1.727%	1.835	1.345	0.489	0.034
2013 31/8 06:45	138.000	135.829	133.494	1.734%	1.801	1.223	0.578	0.060
2013 31/8 05:45	138.000	135.346	133.044	1.716%	1.741	1.079	0.663	0.103
2013 31/8 04:45	136.591	134.757	132.548	1.652%	1.638	0.913	0.725	0.050
2013 31/8 03:45	138.482	134.349	132.144	1.655%	1.587	0.732	0.856	0.234
2013 31/8 02:45	137.750	133.431	131.510	1.450%	1.354	0.518	0.836	0.265
2013 31/8 01:45	137.480	132.471	130.886	1.204%	1.089	0.309	0.780	0.337
2013 31/8 00:45	141.848	131.358	130.227	0.865%	0.752	0.114	0.638	0.789
2013 30/8 23:45	129.090	129.027	129.065	-0.029%	-0.038	-0.045	0.008	0.008
2013 30/8 22:45	129.000	129.013	129.062	-0.038%	-0.046	-0.047	0.002	0.002
2013 30/8 21:45	128.900	129.016	129.068	-0.041%	-0.048	-0.048	0.000	0.006
2013 30/8 20:45	128.906	129.041	129.085	-0.034%	-0.042	-0.048	0.006	0.008
2013 30/8 19:45	128.900	129.071	129.103	-0.025%	-0.034	-0.049	0.016	0.011
2013 30/8 18:45	129.856	129.109	129.123	-0.011%	-0.023	-0.053	0.031	0.061
2013 30/8 17:45	128.560	128.944	129.050	-0.083%	-0.084	-0.061	-0.023	0.025
2013 30/8 16:45	129.042	129.029	129.099	-0.054%	-0.058	-0.055	-0.003	0.005
2013 30/8 15:45	129.000	129.026	129.105	-0.061%	-0.063	-0.054	-0.009	0.002
2013 30/8 14:45	129.300	129.032	129.115	-0.065%	-0.065	-0.052	-0.013	0.025
2013 30/8 13:45	128.710	128.972	129.097	-0.097%	-0.090	-0.049	-0.041	0.016
2013 30/8 12:45	128.890	129.031	129.136	-0.081%	-0.074	-0.039	-0.035	0.007
2013 30/8 11:45	128.900	129.062	129.160	-0.076%	-0.067	-0.030	-0.037	0.009
2013 30/8 10:45	129.250	129.098	129.186	-0.068%	-0.057	-0.021	-0.036	0.015
2013 30/8 09:45	128.733	129.064	129.180	-0.090%	-0.072	-0.012	-0.060	0.023
2013 30/8 08:45	128.970	129.137	129.225	-0.067%	-0.049	0.003	-0.052	0.011
2013 30/8 07:45	128.560	129.175	129.250	-0.058%	-0.038	0.016	-0.054	0.047
2013 30/8 06:45	128.570	129.311	129.319	-0.006%	0.010	0.030	-0.020	0.059
2013 30/8 05:45	129.480	129.476	129.394	0.063%	0.069	0.035	0.034	0.003
2013 30/8 04:45	129.700	129.475	129.385	0.069%	0.073	0.026	0.046	0.014
2013 30/8 03:45	129.700	129.425	129.354	0.055%	0.058	0.015	0.044	0.019
2013 30/8 02:45	129.000	129.364	129.319	0.035%	0.039	0.004	0.036	0.030
2013 30/8 01:45	129.888	129.445	129.351	0.073%	0.070	-0.005	0.075	0.032
2013 30/8 00:45	129.950	129.347	129.297	0.038%	0.038	-0.024	0.061	0.047
2013 29/8 23:45	129.884	129.213	129.232	-0.015%	-0.009	-0.039	0.030	0.054
2013 29/8 22:45	129.450	129.063	129.167	-0.080%	-0.063	-0.047	-0.017	0.034
2013 29/8 21:45	128.810	128.977	129.139	-0.125%	-0.097	-0.043	-0.055	0.009
2013 29/8 20:45	128.709	129.015	129.171	-0.121%	-0.089	-0.029	-0.060	0.020
2013 29/8 19:45	129.000	129.083	129.218	-0.105%	-0.069	-0.014	-0.055	0.004
2013 29/8 18:45	129.117	129.101	129.239	-0.107%	-0.065	-0.000	-0.065	0.004
2013 29/8 17:45	129.288	129.097	129.252	-0.120%	-0.068	0.016	-0.084	0.017
2013 29/8 16:45	128.563	129.055	129.248	-0.150%	-0.085	0.037	-0.122	0.037
2013 29/8 15:45	128.710	129.164	129.317	-0.118%	-0.049	0.067	-0.116	0.036
2013 29/8 14:45	129.300	129.265	129.377	-0.087%	-0.013	0.096	-0.109	0.000
2013 29/8 13:45	128.860	129.257	129.385	-0.099%	-0.013	0.124	-0.137	0.034
2013 29/8 12:45	128.800	129.345	129.437	-0.071%	0.021	0.158	-0.137	0.048
2013 29/8 11:45	129.499	129.467	129.501	-0.027%	0.069	0.192	-0.123	0.005
2013 29/8 10:45	128.550	129.459	129.501	-0.032%	0.075	0.223	-0.148	0.081
2013 29/8 09:45	129.184	129.662	129.596	0.050%	0.155	0.260	-0.104	0.051
2013 29/8 08:45	128.492	129.768	129.638	0.100%	0.206	0.286	-0.080	0.116
2013 29/8 07:45	129.951	130.051	129.752	0.230%	0.322	0.306	0.016	0.029
2013 29/8 06:45	130.800	130.074	129.732	0.263%	0.351	0.301	0.049	0.035
2013 29/8 05:45	131.235	129.912	129.626	0.221%	0.316	0.289	0.027	0.083
2013 29/8 04:45	130.000	129.618	129.465	0.118%	0.233	0.282	-0.050	0.013
2013 29/8 03:45	129.601	129.533	129.411	0.094%	0.220	0.295	-0.075	0.012
2013 29/8 02:45	129.782	129.518	129.392	0.097%	0.231	0.314	-0.082	0.003
2013 29/8 01:45	130.799	129.460	129.353	0.082%	0.228	0.334	-0.106	0.087
2013 29/8 00:45	129.098	129.162	129.209	-0.036%	0.141	0.361	-0.219	0.021
2013 28/8 23:45	128.760	129.176	129.220	-0.034%	0.162	0.416	-0.253	0.051
2013 28/8 22:45	128.831	129.269	129.266	0.002%	0.213	0.479	-0.266	0.056
2013 28/8 21:45	129.699	129.366	129.309	0.044%	0.269	0.545	-0.276	0.000
2013 28/8 20:45	128.651	129.292	129.270	0.017%	0.269	0.614	-0.345	0.078
