2013 31/8 23:00	143.490	140.504	138.443	1.478%	1.740	1.515	0.225	0.108
2013 31/8 22:00	144.088	139.841	137.938	1.370%	1.632	1.458	0.174	0.208
2013 31/8 21:00	141.123	138.897	137.323	1.140%	1.425	1.415	0.010	0.070
2013 31/8 20:00	140.490	138.402	136.943	1.060%	1.355	1.413	-0.058	0.063
2013 31/8 19:00	138.980	137.938	136.588	0.983%	1.292	1.427	-0.135	0.012
2013 31/8 18:00	138.211	137.706	136.349	0.991%	1.304	1.461	-0.157	0.053
2013 31/8 17:00	138.000	137.594	136.163	1.046%	1.357	1.500	-0.143	0.064
2013 31/8 16:00	137.760	137.504	135.979	1.115%	1.421	1.535	-0.115	0.078
2013 31/8 15:00	138.679	137.447	135.801	1.205%	1.499	1.564	-0.065	0.009
2013 31/8 14:00	137.050	137.174	135.513	1.218%	1.508	1.580	-0.072	0.111
2013 31/8 13:00	136.680	137.201	135.360	1.351%	1.619	1.599	0.021	0.146
2013 31/8 12:00	138.361	137.317	135.228	1.533%	1.765	1.593	0.171	0.035
2013 31/8 11:00	138.500	137.085	134.914	1.596%	1.799	1.551	0.249	0.007
2013 31/8 10:00	138.200	136.770	134.556	1.633%	1.806	1.488	0.318	0.004
2013 31/8 09:00	138.030	136.453	134.191	1.671%	1.811	1.409	0.402	0.009
2013 31/8 08:00	138.000	136.102	133.807	1.701%	1.801	1.308	0.493	0.037
2013 31/8 07:00	138.050	135.681	133.388	1.704%	1.765	1.185	0.580	0.078
2013 31/8 06:00	138.020	135.154	132.922	1.665%	1.687	1.040	0.647	0.123
2013 31/8 05:00	136.500	134.517	132.412	1.577%	1.564	0.878	0.685	0.066
2013 31/8 04:00	137.590	134.076	132.003	1.558%	1.498	0.707	0.791	0.191
2013 31/8 03:00	137.200	133.296	131.445	1.398%	1.307	0.509	0.798	0.236
2013 31/8 02:00	137.500	132.428	130.869	1.184%	1.072	0.310	0.762	0.343
2013 31/8 01:00	141.000	131.301	130.206	0.838%	0.729	0.120	0.609	0.728
2013 31/8 00:00	129.090	129.146	129.126	0.015%	0.001	-0.033	0.034	0.003
2013 30/8 23:00	129.170	129.158	129.130	0.022%	0.004	-0.041	0.045	0.002
2013 30/8 22:00	129.750	129.155	129.126	0.023%	0.002	-0.053	0.055	0.048
2013 30/8 21:00	128.900	129.023	129.064	-0.031%	-0.046	-0.066	0.020	0.006
2013 30/8 20:00	128.900	129.050	129.080	-0.023%	-0.040	-0.071	0.032	0.008
2013 30/8 19:00	129.806	129.084	129.098	-0.011%	-0.031	-0.079	0.048	0.060
2013 30/8 18:00	129.000	128.923	129.027	-0.081%	-0.091	-0.091	-0.000	0.012
2013 30/8 17:00	129.000	128.906	129.030	-0.096%	-0.103	-0.091	-0.012	0.014
2013 30/8 16:00	128.570	128.886	129.033	-0.114%	-0.117	-0.088	-0.029	0.018
2013 30/8 15:00	129.000	128.956	129.079	-0.096%	-0.099	-0.081	-0.018	0.009
2013 30/8 14:00	128.890	128.946	129.087	-0.110%	-0.108	-0.076	-0.032	0.002
2013 30/8 13:00	128.700	128.958	129.107	-0.115%	-0.110	-0.068	-0.042	0.014
2013 30/8 12:00	128.900	129.016	129.148	-0.102%	-0.096	-0.058	-0.038	0.004
2013 30/8 11:00	128.915	129.042	129.172	-0.101%	-0.092	-0.048	-0.044	0.005
2013 30/8 10:00	128.733	129.070	129.198	-0.100%	-0.087	-0.037	-0.050	0.022
2013 30/8 09:00	129.300	129.144	129.245	-0.078%	-0.064	-0.025	-0.040	0.015
2013 30/8 08:00	128.700	129.110	129.239	-0.100%	-0.080	-0.015	-0.065	0.029
2013 30/8 07:00	129.000	129.201	129.293	-0.071%	-0.051	0.002	-0.052	0.014
2013 30/8 06:00	128.560	129.245	129.322	-0.060%	-0.037	0.015	-0.052	0.053
2013 30/8 05:00	128.911	129.398	129.399	-0.001%	0.016	0.028	-0.012	0.040
2013 30/8 04:00	129.830	129.506	129.447	0.045%	0.056	0.031	0.025	0.023
2013 30/8 03:00	129.000	129.434	129.409	0.019%	0.033	0.024	0.009	0.036
2013 30/8 02:00	129.789	129.530	129.450	0.062%	0.069	0.022	0.047	0.017
2013 30/8 01:00	129.890	129.472	129.416	0.044%	0.052	0.010	0.042	0.030
2013 30/8 00:00	129.869	129.380	129.369	0.008%	0.022	-0.000	0.022	0.038
2013 29/8 23:00	129.500	129.271	129.319	-0.037%	-0.016	-0.005	-0.010	0.019
2013 29/8 22:00	128.810	129.220	129.301	-0.062%	-0.035	-0.003	-0.032	0.031
2013 29/8 21:00	129.740	129.311	129.350	-0.030%	-0.004	0.005	-0.009	0.034
2013 29/8 20:00	128.660	129.216	129.311	-0.073%	-0.037	0.007	-0.044	0.043
2013 29/8 19:00	130.000	129.339	129.376	-0.028%	0.006	0.018	-0.013	0.051
2013 29/8 18:00	129.282	129.192	129.313	-0.093%	-0.045	0.022	-0.067	0.008
2013 29/8 17:00	128.563	129.173	129.316	-0.111%	-0.053	0.038	-0.092	0.047
2013 29/8 16:00	129.758	129.308	129.392	-0.065%	-0.006	0.061	-0.067	0.034
2013 29/8 15:00	129.100	129.208	129.355	-0.114%	-0.040	0.078	-0.118	0.009
2013 29/8 14:00	128.900	129.232	129.380	-0.115%	-0.031	0.108	-0.138	0.028
2013 29/8 13:00	128.850	129.306	129.429	-0.095%	-0.003	0.142	-0.145	0.040
2013 29/8 12:00	129.000	129.407	129.486	-0.061%	0.037	0.178	-0.141	0.038
2013 29/8 11:00	129.000	129.498	129.535	-0.029%	0.076	0.214	-0.138	0.048
2013 29/8 10:00	129.000	129.608	129.589	0.015%	0.124	0.248	-0.125	0.059
2013 29/8 09:00	128.572	129.743	129.647	0.074%	0.183	0.279	-0.096	0.107
2013 29/8 08:00	129.570	130.003	129.755	0.191%	0.290	0.304	-0.014	0.054
2013 29/8 07:00	130.500	130.100	129.773	0.251%	0.343	0.307	0.036	0.009
2013 29/8 06:00	131.240	130.011	129.701	0.239%	0.334	0.298	0.036	0.075
2013 29/8 05:00	130.373	129.738	129.547	0.147%	0.259	0.289	-0.030	0.032
2013 29/8 04:00	129.626	129.597	129.464	0.102%	0.227	0.297	-0.069	0.015
2013 29/8 03:00	129.980	129.590	129.448	0.110%	0.242	0.314	-0.072	0.012
2013 29/8 02:00	130.800	129.503	129.395	0.084%	0.230	0.332	-0.102	0.084
2013 29/8 01:00	129.120	129.215	129.254	-0.030%	0.146	0.357	-0.211	0.023
2013 29/8 00:00	128.760	129.237	129.268	-0.024%	0.170	0.410	-0.240	0.056
2013 28/8 23:00	129.500	129.342	129.319	0.018%	0.226	0.470	-0.245	0.010
2013 28/8 22:00	129.499	129.307	129.300	0.005%	0.235	0.531	-0.296	0.009
2013 28/8 21:00	128.610	129.265	129.281	-0.012%	0.244	0.605	-0.361	0.078
2013 28/8 20:00	128.800	129.410	129.348	0.049%	0.322	0.695	-0.373	0.080
2013 28/8 19:00	128.700	129.546	129.402	0.111%	0.402	0.789	-0.387	0.104
2013 28/8 18:00	128.710	129.734	129.473	0.202%	0.506	0.885	-0.380	0.124
2013 28/8 17:00	129.698	129.962	129.549	0.318%	0.630	0.980	-0.350	0.072
