2013 31/8 23:00	143.490	136.599	133.183	2.532%	2.806	2.064	0.742	0.352
2013 31/8 19:00	138.980	135.067	132.153	2.181%	2.455	1.879	0.576	0.148
2013 31/8 15:00	138.679	134.198	131.470	2.053%	2.306	1.735	0.572	0.204
2013 31/8 11:00	138.500	133.202	130.749	1.858%	2.103	1.592	0.511	0.282
2013 31/8 07:00	138.050	132.024	129.974	1.565%	1.821	1.464	0.356	0.357
2013 31/8 03:00	137.200	130.685	129.166	1.169%	1.463	1.375	0.088	0.417
2013 30/8 23:00	129.170	129.237	128.363	0.679%	1.046	1.353	-0.307	0.083
2013 30/8 19:00	129.806	129.252	128.282	0.753%	1.130	1.430	-0.300	0.039
2013 30/8 15:00	129.000	129.129	128.130	0.777%	1.169	1.505	-0.336	0.097
2013 30/8 11:00	128.915	129.158	128.043	0.867%	1.266	1.589	-0.323	0.112
2013 30/8 07:00	129.000	129.212	127.956	0.977%	1.377	1.670	-0.292	0.116
2013 30/8 03:00	129.000	129.259	127.851	1.095%	1.493	1.743	-0.249	0.126
2013 29/8 23:00	129.500	129.316	127.736	1.229%	1.620	1.805	-0.185	0.098
2013 29/8 19:00	130.000	129.276	127.560	1.336%	1.718	1.851	-0.133	0.060
2013 29/8 15:00	129.100	129.115	127.316	1.403%	1.778	1.884	-0.106	0.122
2013 29/8 11:00	129.000	129.118	127.138	1.546%	1.900	1.911	-0.011	0.136
2013 29/8 07:00	130.500	129.144	126.951	1.713%	2.037	1.914	0.123	0.025
2013 29/8 03:00	129.980	128.843	126.596	1.759%	2.061	1.883	0.179	0.042
2013 28/8 23:00	129.500	128.590	126.258	1.830%	2.104	1.838	0.265	0.061
2013 28/8 19:00	128.700	128.388	125.934	1.930%	2.164	1.772	0.392	0.109
2013 28/8 15:00	129.490	128.319	125.657	2.096%	2.274	1.674	0.600	0.043
2013 28/8 11:00	131.413	128.059	125.274	2.198%	2.316	1.524	0.792	0.136
2013 28/8 07:00	131.300	127.313	124.660	2.106%	2.181	1.326	0.855	0.199
2013 28/8 03:00	131.213	126.427	123.996	1.942%	1.981	1.112	0.869	0.281
2013 27/8 23:00	131.210	125.364	123.275	1.681%	1.701	0.895	0.806	0.388
2013 27/8 19:00	129.600	124.065	122.481	1.285%	1.312	0.693	0.619	0.388
2013 27/8 15:00	131.000	122.835	121.769	0.871%	0.924	0.539	0.386	0.632
2013 27/8 11:00	120.457	121.020	120.846	0.144%	0.292	0.442	-0.150	0.071
2013 27/8 07:00	120.100	121.146	120.885	0.215%	0.363	0.480	-0.117	0.115
2013 27/8 03:00	120.222	121.378	120.964	0.342%	0.477	0.509	-0.032	0.129
2013 26/8 23:00	122.100	121.635	121.038	0.492%	0.607	0.517	0.089	0.001
2013 26/8 19:00	122.000	121.531	120.931	0.495%	0.605	0.495	0.110	0.002
2013 26/8 15:00	122.290	121.427	120.825	0.498%	0.603	0.467	0.136	0.036
2013 26/8 11:00	122.000	121.235	120.678	0.461%	0.567	0.433	0.134	0.030
2013 26/8 07:00	122.480	121.066	120.546	0.430%	0.537	0.400	0.137	0.087
2013 26/8 03:00	122.315	120.751	120.352	0.331%	0.449	0.366	0.084	0.104
2013 25/8 23:00	121.450	120.404	120.156	0.206%	0.345	0.345	0.000	0.065
2013 25/8 19:00	120.495	120.171	120.027	0.120%	0.280	0.345	-0.065	0.007
2013 25/8 15:00	120.444	120.099	119.980	0.099%	0.273	0.361	-0.088	0.008
2013 25/8 11:00	121.190	120.022	119.933	0.074%	0.265	0.383	-0.118	0.078
2013 25/8 07:00	121.260	119.763	119.808	-0.037%	0.188	0.412	-0.225	0.108
2013 25/8 03:00	119.800	119.430	119.662	-0.194%	0.080	0.469	-0.389	0.015
2013 24/8 23:00	118.900	119.348	119.649	-0.251%	0.065	0.566	-0.501	0.057
2013 24/8 19:00	118.086	119.448	119.724	-0.231%	0.122	0.691	-0.569	0.140
2013 24/8 15:00	119.000	119.750	119.887	-0.114%	0.262	0.833	-0.571	0.097
2013 24/8 11:00	118.500	119.917	119.976	-0.049%	0.359	0.976	-0.617	0.161
2013 24/8 07:00	118.900	120.232	120.124	0.090%	0.520	1.130	-0.610	0.164
2013 24/8 03:00	118.885	120.528	120.246	0.234%	0.684	1.282	-0.598	0.200
2013 23/8 23:00	120.100	120.893	120.382	0.424%	0.885	1.432	-0.547	0.140
2013 23/8 19:00	119.020	121.070	120.410	0.546%	1.025	1.569	-0.543	0.255
2013 23/8 15:00	120.882	121.525	120.549	0.806%	1.280	1.705	-0.424	0.151
2013 23/8 11:00	120.821	121.668	120.516	0.951%	1.431	1.811	-0.380	0.177
2013 23/8 07:00	122.560	121.856	120.486	1.131%	1.608	1.905	-0.298	0.056
2013 23/8 03:00	121.032	121.700	120.278	1.175%	1.664	1.980	-0.316	0.176
2013 22/8 23:00	122.700	121.848	120.203	1.360%	1.840	2.059	-0.219	0.057
